==130868== NVPROF is profiling process 130868, command: ./a.out
==130868== Profiling application: ./a.out
==130868== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
s,s,,,,,,,,B,B,,,,,
8.525527,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",19
8.525539,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",20
8.525550,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",21
8.525560,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",22
8.525571,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",23
8.525581,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",24
8.525592,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",25
8.525603,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",26
8.525613,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",27
8.525624,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",28
8.525634,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",29
8.525645,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",30
8.525655,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",31
8.525666,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",32
8.525677,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",33
8.525687,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",34
8.525698,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",35
8.525708,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",36
8.525719,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",37
8.525729,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",38
8.525740,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",39
8.525751,0.000007,1,1,1,1,1,1,46,0,0,"Tesla V100-PCIE-16GB (2)","3","7","sha256_kernel_gpu(unsigned int const *, unsigned int, unsigned int*)",40
